time,CT6_1000_1,CT6_1000_2,CT6_1000_3,CT6_600_1,CT6_600_2,CT6_600_3,CT6_800_1,CT6_800_2,CT6_800_3
212,122007,135795,142689,128901,128901,128901,135795,135795,135795
213,122007,135795,142689,128901,128901,128901,135795,135795,135795
214,122007,135795,142689,128901,128901,128901,135795,135795,135795
215,122007,135795,142689,122007,122007,122007,135795,135795,135795
216,122007,135795,142689,122007,122007,122007,135795,135795,135795
217,122007,128901,135795,122007,122007,122007,128901,135795,135795
218,122007,128901,135795,122007,122007,122007,128901,128901,135795
219,122007,128901,135795,122007,122007,122007,128901,128901,128901
220,115113,128901,135795,122007,122007,122007,128901,128901,128901
221,115113,128901,135795,122007,122007,122007,128901,128901,128901
222,115113,128901,135795,122007,122007,122007,128901,128901,128901
223,115113,128901,135795,122007,122007,122007,128901,128901,128901
224,115113,128901,128901,122007,122007,122007,128901,128901,128901
225,115113,122007,128901,122007,122007,122007,128901,128901,128901
226,115113,122007,128901,122007,122007,122007,122007,122007,128901
227,115113,122007,128901,115113,115113,115113,122007,122007,122007
228,115113,122007,128901,115113,115113,115113,122007,122007,122007
229,115113,122007,128901,115113,115113,115113,122007,122007,122007
230,115113,122007,128901,115113,115113,115113,122007,122007,122007
231,115113,122007,128901,115113,115113,115113,122007,122007,122007
232,115113,122007,122007,115113,115113,115113,122007,122007,122007
233,115113,122007,122007,115113,115113,115113,122007,122007,122007
234,115113,122007,122007,115113,115113,115113,122007,122007,122007
235,108219,122007,122007,115113,115113,115113,122007,122007,122007
236,108219,115113,122007,115113,115113,115113,122007,122007,122007
237,108219,115113,122007,115113,115113,115113,115113,122007,122007
238,108219,115113,122007,115113,115113,115113,115113,115113,115113
239,108219,115113,122007,115113,115113,115113,115113,115113,115113
240,108219,115113,122007,115113,115113,115113,115113,115113,115113
241,108219,115113,122007,115113,115113,115113,115113,115113,115113
242,108219,115113,122007,115113,115113,115113,115113,115113,115113
243,108219,115113,122007,115113,115113,115113,115113,115113,115113
244,108219,115113,115113,108219,108219,108219,115113,115113,115113
245,108219,115113,115113,108219,108219,108219,115113,115113,115113
246,108219,115113,115113,108219,108219,108219,115113,115113,115113
