time,CT4_600_1,CT4_600_2,CT4_600_3,CT4_800_1,CT4_800_2,CT4_800_3,CT4_1000_1,CT4_1000_2
291,211629,232311,266781,494283,494283,514965,597693,625269
292,211629,232311,266781,494283,494283,514965,597693,618375
293,211629,232311,266781,494283,494283,508071,597693,618375
294,211629,232311,266781,487389,487389,508071,590799,618375
295,204735,232311,259887,487389,487389,508071,590799,611481
296,204735,232311,259887,487389,487389,501177,590799,611481
297,204735,225417,259887,487389,480495,501177,583905,611481
298,204735,225417,259887,480495,480495,501177,583905,604587
299,204735,225417,259887,480495,480495,501177,583905,604587
300,204735,225417,259887,480495,480495,494283,577011,604587
301,204735,225417,259887,480495,473601,494283,577011,597693
302,204735,225417,252993,473601,473601,494283,577011,597693
303,204735,225417,252993,473601,473601,487389,570117,597693
304,197841,225417,252993,473601,473601,487389,570117,590799
305,197841,225417,252993,473601,466707,487389,570117,590799
306,197841,218523,252993,466707,466707,487389,563223,590799
307,197841,218523,252993,466707,466707,480495,563223,583905
308,197841,218523,252993,466707,466707,480495,563223,583905
309,197841,218523,252993,466707,459813,480495,556329,583905
310,197841,218523,246099,459813,459813,480495,556329,577011
311,197841,218523,246099,459813,459813,473601,556329,577011
312,197841,218523,246099,459813,459813,473601,556329,577011
313,197841,218523,246099,459813,452919,473601,549435,570117
314,197841,211629,246099,452919,452919,473601,549435,570117
315,190947,211629,246099,452919,452919,466707,549435,570117
316,190947,211629,246099,452919,452919,466707,542541,563223
317,190947,211629,246099,452919,446025,466707,542541,563223
318,190947,211629,239205,446025,446025,466707,542541,563223
319,190947,211629,239205,446025,446025,459813,542541,563223
320,190947,211629,239205,446025,446025,459813,535647,556329
321,190947,211629,239205,446025,439131,459813,535647,556329
322,190947,211629,239205,439131,439131,459813,535647,556329
323,190947,211629,239205,439131,439131,452919,535647,549435
324,190947,204735,239205,439131,439131,452919,528753,549435
325,190947,204735,239205,439131,439131,452919,528753,549435
326,184053,204735,239205,432237,432237,452919,528753,549435
327,184053,204735,232311,432237,432237,452919,521859,542541
328,184053,204735,232311,432237,432237,446025,521859,542541
329,184053,204735,232311,432237,432237,446025,521859,542541
330,184053,204735,232311,432237,432237,446025,521859,542541
331,184053,204735,232311,425343,425343,446025,514965,535647
332,184053,204735,232311,425343,425343,439131,514965,535647
333,184053,204735,232311,425343,425343,439131,514965,535647
334,184053,197841,232311,425343,425343,439131,514965,528753
335,184053,197841,232311,425343,418449,439131,508071,528753
336,184053,197841,225417,418449,418449,439131,508071,528753
337,184053,197841,225417,418449,418449,432237,508071,528753
338,184053,197841,225417,418449,418449,432237,508071,521859
339,177159,197841,225417,418449,418449,432237,501177,521859
340,177159,197841,225417,418449,411555,432237,501177,521859
341,177159,197841,225417,411555,411555,432237,501177,521859
342,177159,197841,225417,411555,411555,425343,501177,514965
343,177159,197841,225417,411555,411555,425343,494283,514965
344,177159,197841,225417,411555,411555,425343,494283,514965
345,177159,190947,225417,411555,411555,425343,494283,514965
346,177159,190947,218523,404661,404661,425343,494283,508071
347,177159,190947,218523,404661,404661,418449,494283,508071
348,177159,190947,218523,404661,404661,418449,487389,508071
349,177159,190947,218523,404661,404661,418449,487389,508071
350,177159,190947,218523,404661,404661,418449,487389,508071
351,177159,190947,218523,397767,397767,418449,487389,501177
352,170265,190947,218523,397767,397767,411555,480495,501177
353,170265,190947,218523,397767,397767,411555,480495,501177
354,170265,190947,218523,397767,397767,411555,480495,501177
355,170265,190947,218523,397767,397767,411555,480495,494283
356,170265,190947,218523,390873,390873,411555,480495,494283
357,170265,190947,211629,390873,390873,404661,473601,494283
358,170265,184053,211629,390873,390873,404661,473601,494283
359,170265,184053,211629,390873,390873,404661,473601,487389
360,170265,184053,211629,390873,390873,404661,473601,487389
361,170265,184053,211629,390873,390873,404661,473601,487389
362,170265,184053,211629,383979,383979,404661,466707,487389
363,170265,184053,211629,383979,383979,397767,466707,487389
364,170265,184053,211629,383979,383979,397767,466707,480495
365,170265,184053,211629,383979,383979,397767,466707,480495
366,170265,184053,211629,383979,383979,397767,459813,480495
367,170265,184053,211629,383979,383979,397767,459813,480495
368,163371,184053,211629,377085,377085,390873,459813,480495
369,163371,184053,204735,377085,377085,390873,459813,473601
370,163371,184053,204735,377085,377085,390873,459813,473601
371,163371,177159,204735,377085,377085,390873,452919,473601
372,163371,177159,204735,377085,377085,390873,452919,473601
373,163371,177159,204735,377085,377085,390873,452919,473601
374,163371,177159,204735,370191,370191,383979,452919,466707
375,163371,177159,204735,370191,370191,383979,452919,466707
376,163371,177159,204735,370191,370191,383979,452919,466707
377,163371,177159,204735,370191,370191,383979,446025,466707
378,163371,177159,204735,370191,370191,383979,446025,466707
379,163371,177159,204735,370191,370191,383979,446025,459813
380,163371,177159,204735,363297,363297,377085,446025,459813
381,163371,177159,204735,363297,363297,377085,446025,459813
382,163371,177159,197841,363297,363297,377085,439131,459813
383,163371,177159,197841,363297,363297,377085,439131,459813
384,163371,177159,197841,363297,363297,377085,439131,452919
385,156477,177159,197841,363297,363297,377085,439131,452919
386,156477,177159,197841,363297,363297,377085,439131,452919
387,156477,170265,197841,356403,356403,370191,432237,452919
388,156477,170265,197841,356403,356403,370191,432237,452919
389,156477,170265,197841,356403,356403,370191,432237,446025
390,156477,170265,197841,356403,356403,370191,432237,446025
391,156477,170265,197841,356403,356403,370191,432237,446025
392,156477,170265,197841,356403,356403,370191,432237,446025
393,156477,170265,197841,356403,356403,363297,425343,446025
394,156477,170265,197841,349509,349509,363297,425343,439131
395,156477,170265,197841,349509,349509,363297,425343,439131
396,156477,170265,190947,349509,349509,363297,425343,439131
397,156477,170265,190947,349509,349509,363297,425343,439131
398,156477,170265,190947,349509,349509,363297,425343,439131
399,156477,170265,190947,349509,349509,363297,418449,439131
400,156477,170265,190947,349509,349509,356403,418449,432237
401,156477,170265,190947,342615,342615,356403,418449,432237
402,156477,170265,190947,342615,342615,356403,418449,432237
403,156477,170265,190947,342615,342615,356403,418449,432237
404,149583,163371,190947,342615,342615,356403,418449,432237
405,101325,163371,190947,342615,342615,356403,411555,432237
406,101325,163371,190947,342615,342615,356403,411555,425343
407,101325,163371,190947,342615,342615,349509,411555,425343
408,101325,163371,190947,335721,335721,349509,411555,425343
409,101325,163371,190947,335721,335721,349509,411555,425343
410,101325,163371,190947,335721,335721,349509,411555,425343
411,101325,163371,184053,335721,335721,349509,404661,425343
412,101325,163371,184053,335721,335721,349509,404661,418449
413,101325,163371,184053,335721,335721,349509,404661,418449
414,101325,163371,184053,335721,335721,349509,404661,418449
415,101325,163371,184053,335721,335721,342615,404661,418449
416,101325,163371,184053,328827,328827,342615,404661,418449
417,101325,163371,184053,328827,328827,342615,404661,418449
418,101325,163371,184053,328827,328827,342615,397767,418449
419,101325,163371,184053,328827,328827,342615,397767,411555
420,101325,163371,184053,328827,328827,342615,397767,411555
421,101325,163371,184053,328827,328827,342615,397767,411555
422,101325,163371,184053,328827,328827,335721,397767,411555
423,101325,156477,184053,328827,328827,335721,397767,411555
424,101325,156477,184053,321933,328827,335721,397767,411555
425,101325,156477,184053,321933,321933,335721,390873,404661
426,101325,156477,184053,321933,321933,335721,390873,404661
427,101325,156477,184053,321933,321933,335721,390873,404661
428,101325,156477,177159,321933,321933,335721,390873,404661
