time,CT5_1000_3,CT5_800_1,CT5_800_2
413,1742097,1480125,1493913
414,1735203,1473231,1493913
415,1728309,1473231,1493913
416,1728309,1466337,1487019
417,1721415,1466337,1487019
418,1721415,1459443,1487019
419,1714521,1459443,1480125
420,1707627,1452549,1473231
421,1707627,1452549,1466337
422,1707627,1445655,1466337
423,1700733,1445655,1466337
424,1693839,1445655,1459443
425,1693839,1438761,1459443
426,1686945,1438761,1459443
427,1686945,1431867,1452549
428,1680051,1431867,1452549
429,1673157,1431867,1452549
430,1673157,1424973,1445655
431,1673157,1424973,1445655
432,1666263,1418079,1438761
433,1659369,1418079,1438761
434,1659369,1411185,1431867
435,1652475,1411185,1431867
436,1652475,1411185,1431867
437,1645581,1404291,1424973
438,1645581,1404291,1424973
439,1638687,1397397,1418079
440,1631793,1397397,1418079
441,1631793,1390503,1411185
442,1631793,1390503,1411185
443,1624899,1390503,1411185
444,1618005,1383609,1404291
445,1618005,1383609,1404291
446,1611111,1376715,1397397
447,1611111,1376715,1397397
448,1611111,1376715,1390503
449,1604217,1369821,1390503
450,1597323,1369821,1390503
451,1597323,1362927,1383609
452,1590429,1362927,1383609
453,1590429,1362927,1376715
454,1590429,1356033,1376715
455,1583535,1356033,1376715
456,1576641,1349139,1369821
457,1576641,1349139,1369821
458,1569747,1349139,1362927
459,1569747,1342245,1362927
460,1562853,1342245,1362927
461,1562853,1335351,1356033
462,1562853,1335351,1356033
463,1555959,1328457,1349139
464,1549065,1328457,1349139
465,1549065,1328457,1349139
466,1542171,1321563,1342245
467,1542171,1321563,1342245
468,1542171,1321563,1335351
469,1535277,1314669,1335351
470,1535277,1314669,1335351
471,1528383,1307775,1328457
472,1521489,1307775,1328457
473,1521489,1307775,1328457
474,1514595,1300881,1321563
475,1514595,1300881,1321563
476,1514595,1293987,1314669
477,1507701,1293987,1314669
478,1507701,1293987,1314669
479,1507701,1287093,1307775
480,1500807,1287093,1307775
481,1500807,1287093,1307775
482,1493913,1280199,1300881
483,1487019,1280199,1300881
484,1487019,1280199,1293987
485,1480125,1273305,1293987
486,1480125,1273305,1293987
487,1480125,1266411,1287093
488,1473231,1266411,1287093
489,1473231,1266411,1287093
490,1473231,1259517,1280199
491,1466337,1259517,1280199
492,1466337,1259517,1273305
493,1459443,1252623,1273305
494,1459443,1252623,1273305
495,1452549,1252623,1266411
496,1452549,1245729,1266411
497,1452549,1245729,1266411
498,1445655,1238835,1259517
499,1445655,1238835,1259517
500,1438761,1238835,1259517
501,1438761,1231941,1252623
502,1431867,1231941,1252623
503,1431867,1231941,1252623
504,1431867,1225047,1245729
505,1424973,1225047,1245729
506,1424973,1225047,1245729
507,1418079,1218153,1238835
508,1418079,1218153,1238835
509,1411185,1218153,1238835
510,1411185,1211259,1231941
511,1411185,1211259,1231941
512,1404291,1211259,1225047
513,1404291,1204365,1225047
514,1397397,1204365,1225047
515,1397397,1204365,1218153
516,1390503,1197471,1218153
517,1390503,1197471,1218153
518,1390503,1197471,1211259
519,1383609,1190577,1211259
520,1383609,1190577,1211259
521,1376715,1190577,1204365
522,1376715,1183683,1204365
523,1376715,1183683,1204365
524,1369821,1183683,1204365
525,1369821,1176789,1197471
526,1369821,1176789,1197471
527,1362927,1176789,1197471
528,1362927,1169895,1190577
529,1356033,1169895,1190577
530,1356033,1169895,1190577
531,1356033,1169895,1183683
532,1349139,1163001,1183683
533,1349139,1163001,1183683
534,1342245,1163001,1176789
535,1342245,1156107,1176789
536,1342245,1156107,1176789
537,1335351,1156107,1169895
538,1335351,1149213,1169895
539,1335351,1149213,1169895
540,1328457,1149213,1169895
541,1328457,1142319,1163001
542,1321563,1142319,1163001
543,1321563,1142319,1163001
544,1321563,1135425,1156107
545,1314669,1135425,1156107
546,1314669,1135425,1156107
547,1314669,1135425,1149213
548,1307775,1128531,1149213
549,1307775,1128531,1149213
550,1300881,1128531,1142319
551,1300881,1121637,1142319
552,1300881,1121637,1142319
553,1293987,1121637,1142319
554,1293987,1121637,1135425
555,1293987,1114743,1135425
556,1287093,1114743,1135425
557,1287093,1114743,1128531
558,1287093,1107849,1128531
559,1280199,1107849,1128531
560,1280199,1107849,1121637
561,1273305,1100955,1121637
562,1273305,1100955,1121637
563,1273305,1100955,1121637
564,1266411,1100955,1114743
565,1266411,1094061,1114743
566,1266411,1094061,1114743
567,1259517,1094061,1114743
568,1259517,1087167,1107849
569,1259517,1087167,1107849
570,1252623,1087167,1107849
571,1252623,1087167,1100955
572,1252623,1080273,1100955
573,1245729,1080273,1100955
574,1245729,1080273,1100955
575,1245729,1080273,1094061
576,1238835,1073379,1094061
577,1238835,1073379,1094061
578,1238835,1073379,1087167
579,1231941,1066485,1087167
580,1231941,1066485,1087167
581,1231941,1066485,1087167
582,1225047,1066485,1080273
583,1225047,1059591,1080273
584,1225047,1059591,1080273
585,1218153,1059591,1073379
586,1218153,1059591,1073379
587,1218153,1052697,1073379
588,1211259,1052697,1073379
589,1211259,1052697,1066485
590,1211259,1052697,1066485
591,1204365,1045803,1066485
592,1204365,1045803,1066485
593,1204365,1045803,1059591
594,1197471,1038909,1059591
595,1197471,1038909,1059591
596,1197471,1038909,1059591
597,1190577,1038909,1052697
598,1190577,1032015,1052697
599,1190577,1032015,1052697
600,1183683,1032015,1052697
601,1183683,1032015,1045803
602,1183683,1025121,1045803
603,1183683,1025121,1045803
604,1176789,1025121,1045803
605,1176789,1025121,1038909
606,1176789,1018227,1038909
607,1169895,1018227,1038909
608,1169895,1018227,1038909
609,1169895,1018227,1032015
610,1163001,1011333,1032015
611,1163001,1011333,1032015
612,1163001,1011333,1025121
613,1163001,1011333,1025121
614,1156107,1004439,1025121
615,1156107,1004439,1025121
616,1156107,1004439,1018227
617,1149213,1004439,1018227
618,1149213,997545,1018227
619,1149213,997545,1018227
620,1142319,997545,1018227
621,1142319,997545,1011333
622,1142319,990651,1011333
623,1142319,990651,1011333
624,1135425,990651,1011333
625,1135425,990651,1004439
626,1135425,983757,1004439
627,1128531,983757,1004439
628,1128531,983757,1004439
629,1128531,983757,997545
630,1128531,983757,997545
631,1121637,976863,997545
632,1121637,976863,997545
633,1121637,976863,990651
634,1114743,976863,990651
635,1114743,969969,990651
636,1114743,969969,990651
637,1114743,969969,990651
638,1107849,969969,983757
639,1107849,963075,983757
640,1107849,963075,983757
641,1100955,963075,983757
642,1100955,963075,976863
643,1100955,963075,976863
644,1100955,956181,976863
645,1094061,956181,976863
646,1094061,956181,969969
647,1094061,956181,969969
648,1094061,949287,969969
649,1087167,949287,969969
650,1087167,949287,969969
651,1087167,949287,963075
652,1080273,949287,963075
653,1080273,942393,963075
654,1080273,942393,963075
655,1080273,942393,956181
656,1073379,942393,956181
657,1073379,935499,956181
658,1073379,935499,956181
659,1073379,935499,956181
660,1066485,935499,949287
661,1066485,935499,949287
662,1066485,928605,949287
663,1066485,928605,949287
664,1059591,928605,942393
665,1059591,928605,942393
666,1059591,928605,942393
667,1059591,921711,942393
668,1052697,921711,942393
669,1052697,921711,935499
670,1052697,921711,935499
671,1052697,914817,935499
672,1045803,914817,935499
673,1045803,914817,935499
674,1045803,914817,928605
675,1045803,914817,928605
676,1038909,907923,928605
677,1038909,907923,928605
678,1038909,907923,928605
679,1038909,907923,921711
680,1032015,907923,921711
681,1032015,901029,921711
682,1032015,901029,921711
683,1032015,901029,914817
684,1025121,901029,914817
685,1025121,901029,914817
686,1025121,894135,914817
687,1025121,894135,914817
688,1018227,894135,907923
689,1018227,894135,907923
690,1018227,894135,907923
691,1018227,887241,907923
692,1011333,887241,907923
693,1011333,887241,907923
694,1011333,887241,901029
695,1011333,887241,901029
696,1004439,880347,901029
697,1004439,880347,901029
698,1004439,880347,901029
699,1004439,880347,894135
700,1004439,880347,894135
701,997545,873453,894135
702,997545,873453,894135
703,997545,873453,894135
704,997545,873453,887241
705,990651,873453,887241
706,990651,873453,887241
707,990651,866559,887241
708,990651,866559,887241
709,983757,866559,880347
710,983757,866559,880347
711,983757,866559,880347
712,983757,859665,880347
713,983757,859665,880347
714,976863,859665,873453
715,976863,859665,873453
716,976863,859665,873453
717,976863,852771,873453
718,969969,852771,873453
719,969969,852771,873453
720,969969,852771,866559
721,969969,852771,866559
722,969969,852771,866559
723,963075,845877,866559
724,963075,845877,866559
725,963075,845877,859665
726,963075,845877,859665
727,956181,845877,859665
728,956181,838983,859665
729,956181,838983,859665
730,956181,838983,852771
731,956181,838983,852771
732,949287,838983,852771
733,949287,838983,852771
734,949287,832089,852771
735,949287,832089,852771
736,949287,832089,845877
737,942393,832089,845877
738,942393,832089,845877
739,942393,832089,845877
740,942393,825195,845877
741,942393,825195,845877
742,935499,825195,838983
743,935499,825195,838983
744,935499,825195,838983
745,935499,818301,838983
746,935499,818301,838983
747,928605,818301,832089
748,928605,818301,832089
749,928605,818301,832089
750,928605,818301,832089
751,921711,811407,832089
752,921711,811407,832089
753,921711,811407,825195
754,921711,811407,825195
755,921711,811407,825195
756,914817,811407,825195
757,914817,804513,825195
758,914817,804513,825195
759,914817,804513,818301
760,914817,804513,818301
761,914817,804513,818301
762,907923,804513,818301
763,907923,797619,818301
764,907923,797619,818301
765,907923,797619,811407
766,907923,797619,811407
767,901029,797619,811407
768,901029,797619,811407
769,901029,790725,811407
770,901029,790725,811407
771,901029,790725,804513
772,894135,790725,804513
773,894135,790725,804513
774,894135,790725,804513
775,894135,790725,804513
776,894135,783831,804513
777,887241,783831,797619
778,887241,783831,797619
779,887241,783831,797619
780,887241,783831,797619
781,887241,783831,797619
782,887241,776937,797619
783,880347,776937,797619
784,880347,776937,790725
785,880347,776937,790725
786,880347,776937,790725
787,880347,776937,790725
788,873453,770043,790725
789,873453,770043,790725
790,873453,770043,783831
791,873453,770043,783831
792,873453,770043,783831
793,866559,770043,783831
794,866559,770043,783831
795,866559,763149,783831
796,866559,763149,783831
797,866559,763149,776937
798,866559,763149,776937
799,859665,763149,776937
800,859665,763149,776937
801,859665,756255,776937
802,859665,756255,776937
803,859665,756255,770043
804,859665,756255,770043
805,852771,756255,770043
806,852771,756255,770043
807,852771,756255,770043
808,852771,749361,770043
809,852771,749361,770043
810,845877,749361,763149
811,845877,749361,763149
812,845877,749361,763149
813,845877,749361,763149
814,845877,749361,763149
815,845877,742467,763149
816,838983,742467,756255
817,838983,742467,756255
818,838983,742467,756255
819,838983,742467,756255
820,838983,742467,756255
821,838983,742467,756255
822,832089,735573,756255
823,832089,735573,756255
824,832089,735573,749361
825,832089,735573,749361
826,832089,735573,749361
827,832089,735573,749361
828,825195,735573,749361
829,825195,728679,749361
830,825195,728679,749361
831,825195,728679,742467
832,825195,728679,742467
833,825195,728679,742467
834,818301,728679,742467
835,818301,728679,742467
836,818301,728679,742467
837,818301,721785,742467
838,818301,721785,735573
839,818301,721785,735573
840,811407,721785,735573
841,811407,721785,735573
842,811407,721785,735573
843,811407,721785,735573
844,811407,714891,735573
845,811407,714891,728679
846,804513,714891,728679
847,804513,714891,728679
848,804513,714891,728679
849,804513,714891,728679
850,804513,714891,728679
851,804513,707997,728679
852,804513,707997,721785
853,797619,707997,721785
854,797619,707997,721785
855,797619,707997,721785
856,797619,707997,721785
857,797619,707997,721785
858,797619,707997,721785
859,790725,701103,721785
860,790725,701103,714891
861,790725,701103,714891
862,790725,701103,714891
863,790725,701103,714891
864,790725,701103,714891
865,790725,701103,714891
866,783831,701103,714891
867,783831,694209,714891
868,783831,694209,707997
869,783831,694209,707997
870,783831,694209,707997
871,783831,694209,707997
872,776937,694209,707997
873,776937,694209,707997
874,776937,694209,707997
875,776937,687315,701103
876,776937,687315,701103
877,776937,687315,701103
878,776937,687315,701103
879,770043,687315,701103
880,770043,687315,701103
881,770043,687315,701103
882,770043,687315,701103
883,770043,680421,694209
884,770043,680421,694209
885,770043,680421,694209
886,763149,680421,694209
887,763149,680421,694209
888,763149,680421,694209
889,763149,680421,694209
890,763149,680421,694209
891,763149,673527,694209
892,763149,673527,687315
893,756255,673527,687315
894,756255,673527,687315
895,756255,673527,687315
896,756255,673527,687315
897,756255,673527,687315
898,756255,673527,687315
899,756255,666633,687315
900,749361,666633,680421
901,749361,666633,680421
902,749361,666633,680421
903,749361,666633,680421
904,749361,666633,680421
905,749361,666633,680421
906,749361,666633,680421
907,742467,666633,680421
908,742467,659739,673527
909,742467,659739,673527
910,742467,659739,673527
911,742467,659739,673527
912,742467,659739,673527
913,742467,659739,673527
914,742467,659739,673527
915,735573,659739,673527
916,735573,659739,673527
917,735573,652845,666633
918,735573,652845,666633
919,735573,652845,666633
920,735573,652845,666633
921,735573,652845,666633
922,728679,652845,666633
923,728679,652845,666633
924,728679,652845,666633
925,728679,645951,659739
926,728679,645951,659739
927,728679,645951,659739
928,728679,645951,659739
929,728679,645951,659739
930,721785,645951,659739
931,721785,645951,659739
932,721785,645951,659739
