time,inlet-p,outlet-p,time
36.3,169908.4494122,101325,36.3
36.4,169427.04338158,101325,36.4
36.5,168949.65055788,101325,36.5
36.6,168476.22877659,101325,36.6
36.7,168006.73643394,101325,36.7
36.8,167541.13247787,101325,36.8
36.9,167079.37639911,101325,36.9
37,166621.42822253,101325,37
37.1,166167.24849854,101325,37.1
37.2,165716.79829472,101325,37.2
37.3,165270.03918757,101325,37.3
37.4,164826.93325445,101325,37.4
37.5,164387.44306563,101325,37.5
37.6,163951.53167649,101325,37.6
37.7,163519.16261987,101325,37.7
37.8,163090.2998986,101325,37.8
37.9,162664.90797811,101325,37.9
38,162242.95177916,101325,38
38.1,161824.39667078,101325,38.1
38.2,161409.20846331,101325,38.2
38.3,160997.35340147,101325,38.3
38.4,160588.79815773,101325,38.4
38.5,160183.50982564,101325,38.5
38.6,159781.45591337,101325,38.6
38.7,159382.60433734,101325,38.7
38.8,158986.92341595,101325,38.8
38.9,158594.38186347,101325,38.9
39,158204.94878395,101325,39
39.1,157818.59366536,101325,39.1
39.2,157435.28637371,101325,39.2
39.3,157054.99714735,101325,39.3
39.4,156677.69659136,101325,39.4
39.5,156303.35567204,101325,39.5
39.6,155931.94571144,101325,39.6
39.7,155563.4383821,101325,39.7
39.8,155197.80570175,101325,39.8
39.9,154835.02002821,101325,39.9
40,154475.05405432,101325,40
40.1,154117.88080297,101325,40.1
40.2,153763.47362223,101325,40.2
40.3,153411.80618056,101325,40.3
40.4,153062.85246208,101325,40.4
40.5,152716.58676193,101325,40.5
40.6,152372.98368176,101325,40.6
40.7,152032.01812521,101325,40.7
40.8,151693.66529352,101325,40.8
40.9,151357.90068125,101325,40.9
41,151024.70007198,101325,41
41.1,150694.03953413,101325,41.1
41.2,150365.89541691,101325,41.2
41.3,150040.24434621,101325,41.3
41.4,149717.06322071,101325,41.4
41.5,149396.32920788,101325,41.5
41.6,149078.01974025,101325,41.6
41.7,148762.11251155,101325,41.7
41.8,148448.58547305,101325,41.8
41.9,148137.41682989,101325,41.9
42,147828.58503751,101325,42
42.1,147522.06879809,101325,42.1
42.2,147217.84705712,101325,42.2
42.3,146915.89899997,101325,42.3
42.4,146616.20404854,101325,42.4
42.5,146318.74185793,101325,42.5
42.6,146023.49231324,101325,42.6
42.7,145730.43552635,101325,42.7
42.8,145439.55183278,101325,42.8
42.9,145150.8217886,101325,42.9
43,144864.22616741,101325,43
43.1,144579.7459573,101325,43.1
43.2,144297.36235797,101325,43.2
43.3,144017.0567778,101325,43.3
43.4,143738.81083101,101325,43.4
43.5,143462.60633484,101325,43.5
43.6,143188.42530683,101325,43.6
43.7,142916.24996208,101325,43.7
43.8,142646.06271058,101325,43.8
43.9,142377.84615459,101325,43.9
44,142111.58308608,101325,44
44.1,141847.25648412,101325,44.1
44.2,141584.84951243,101325,44.2
44.3,141324.34551693,101325,44.3
44.4,141065.72802325,101325,44.4
44.5,140808.98073438,101325,44.5
44.6,140554.08752835,101325,44.6
44.7,140301.03245586,101325,44.7
44.8,140049.79973803,101325,44.8
44.9,139800.37376415,101325,44.9
45,139552.7390895,101325,45
45.1,139306.88043315,101325,45.1
45.2,139062.78267582,101325,45.2
45.3,138820.43085778,101325,45.3
45.4,138579.8101768,101325,45.4
45.5,138340.90598607,101325,45.5
45.6,138103.70379221,101325,45.6
45.7,137868.1892533,101325,45.7
45.8,137634.34817689,101325,45.8
45.9,137402.16651815,101325,45.9
46,137171.63037792,101325,46
46.1,136942.72600085,101325,46.1
46.2,136715.43977362,101325,46.2
46.3,136489.75822307,101325,46.3
46.4,136265.66801448,101325,46.4
46.5,136043.15594977,101325,46.5
46.6,135822.20896579,101325,46.6
46.7,135602.81413263,101325,46.7
46.8,135384.95865196,101325,46.8
46.9,135168.62985534,101325,46.9
47,134953.81520262,101325,47
47.1,134740.50228034,101325,47.1
47.2,134528.67880016,101325,47.2
47.3,134318.33259729,101325,47.3
47.4,134109.45162896,101325,47.4
47.5,133902.02397292,101325,47.5
47.6,133696.03782598,101325,47.6
47.7,133491.48150247,101325,47.7
47.8,133288.3434329,101325,47.8
47.9,133086.61216245,101325,47.9
48,132886.27634962,101325,48
48.1,132687.32476483,101325,48.1
48.2,132489.74628907,101325,48.2
48.3,132293.52991254,101325,48.3
48.4,132098.66473337,101325,48.4
48.5,131905.13995625,101325,48.5
48.6,131712.94489122,101325,48.6
48.7,131522.06895236,101325,48.7
48.8,131332.50165656,101325,48.8
48.9,131144.23262228,101325,48.9
49,130957.25156835,101325,49
49.1,130771.54831276,101325,49.1
49.2,130587.11277149,101325,49.2
49.3,130403.93495737,101325,49.3
49.4,130222.00497892,101325,49.4
49.5,130041.31303918,101325,49.5
49.6,129861.84943468,101325,49.6
49.7,129683.60455428,101325,49.7
49.8,129506.56887811,101325,49.8
49.9,129330.73297651,101325,49.9
50,129156.08750896,101325,50
